"proposal_id","reviewer_1","reviewer_2","grade_1","grade_2","observed_abs_disagreement","predictive_mean","predictive_median","predictive_q025","predictive_q975","analytic_expected_disagreement","probability_rep_ge_observed"
"P037","R02","R07",5,2,3,1.06263908225142,0.914939894602483,0.0472156151522004,2.96284971956636,1.06588879974037,0.0238
"P004","R03","R07",2,4,2,1.07146759262773,0.893442899188701,0.0460914953445947,3.09773226393496,1.06469818676352,0.1384
"P009","R03","R09",3,5,2,1.04470267363003,0.865456206630444,0.0367572127044256,3.08347715107618,1.0635788844771,0.1254
"P010","R03","R07",4,2,2,1.06004135387109,0.893403945508831,0.0460889352028657,2.97842057851362,1.06469818676352,0.1352
"P012","R02","R03",5,3,2,1.0671373335056,0.898510468153381,0.0428531244374374,2.99076909468368,1.05695587051284,0.1324
"P016","R03","R04",5,3,2,1.06734992048651,0.900803855760905,0.0437357306947849,3.02647269106877,1.05899534544479,0.1388
"P026","R01","R08",4,2,2,1.10392589091987,0.92554810386912,0.0459431641386094,3.09858767399745,1.06832612121735,0.1464
"P027","R06","R07",2,4,2,1.07267789154507,0.895276601409001,0.046746859890616,3.02081945993829,1.06337902626731,0.138
"P028","R04","R09",5,3,2,1.04409471408299,0.899561337405077,0.0384983087958437,2.91878161688907,1.05883143831848,0.1276
"P029","R06","R08",3,5,2,1.09862903537598,0.912518819145656,0.0504960425941362,3.10448342525954,1.10713341106594,0.1466
"P034","R06","R08",3,5,2,1.11604168475724,0.934280000586272,0.0414766963335198,3.14976519185233,1.10713341106594,0.1562
"P035","R08","R09",5,3,2,1.08798077619176,0.933528318815015,0.0449787795655243,3.01642708767679,1.0786432604465,0.1366
"P036","R03","R08",5,3,2,1.06469688314932,0.895366803463438,0.0502864329164822,2.98316330501104,1.06328010164437,0.1384
"P002","R04","R05",3,4,1,1.04149820075169,0.883187494721214,0.0385237264438714,2.9786953385898,1.05733602648869,0.4472
"P003","R05","R09",4,3,1,1.06179248265946,0.900497488554331,0.0426211658371589,2.99034892468642,1.0588860257409,0.4476
"P005","R01","R06",2,1,1,1.08182435986922,0.891426800845308,0.0420557572765478,3.09124121331167,1.07752002608626,0.4496
"P008","R02","R04",2,3,1,1.05615602623257,0.880482755630735,0.043209142220738,2.9824496776332,1.05905254893606,0.4502
"P011","R02","R04",4,3,1,1.04249787268237,0.867660548474936,0.0414976397244014,2.99442117555786,1.05905254893606,0.4362
"P013","R05","R06",2,3,1,1.06724223817709,0.887747609966914,0.0462465750979355,3.0439809973772,1.07160702355261,0.4528
"P014","R02","R07",4,3,1,1.07281032329194,0.914919814083784,0.0426178298455437,3.05662598690382,1.06588879974037,0.4638
"P015","R01","R06",3,2,1,1.08199301406877,0.89917958840691,0.0447440208382504,3.03824099537833,1.07752002608626,0.4572
"P018","R01","R05",4,3,1,1.04950358212859,0.882947383030803,0.0405515082239684,3.03368646980086,1.05992108834387,0.449
"P019","R02","R03",2,3,1,1.03406814685074,0.863772529034705,0.0430769047854503,2.99083207244769,1.05695587051284,0.4416
"P020","R01","R07",4,3,1,1.06760620236509,0.904490671173237,0.0417858114402185,2.95996174802289,1.0630085689927,0.4568
"P023","R04","R05",4,5,1,1.06737084571588,0.899925378245316,0.0464560305903974,3.00586625603707,1.05733602648869,0.4518
"P024","R04","R09",4,3,1,1.05194405816618,0.87657296969662,0.0396946986323331,3.02204648476016,1.05883143831848,0.4448
"P030","R05","R07",4,3,1,1.03625121319832,0.870650937746265,0.0369935848785833,2.91109182289336,1.05988727891811,0.4446
"P031","R02","R05",4,3,1,1.05297850246529,0.869263839601961,0.0432857902710181,3.00851005880121,1.05990884703788,0.4382
"P032","R06","R08",4,5,1,1.09425835902317,0.920636419723002,0.045363570422455,3.11851929845021,1.10713341106594,0.467
"P033","R04","R08",3,4,1,1.07018521321134,0.905783357773011,0.0486270364823281,3.01261856611087,1.06918548180453,0.456
"P039","R07","R09",3,4,1,1.06546594757594,0.878403013395584,0.0446583312326612,3.08597103986443,1.05752313825966,0.453
"P041","R02","R03",5,4,1,1.04558682976611,0.873862259524733,0.0415559434819721,2.95672372898944,1.05695587051284,0.4466
"P001","R07","R09",3,3,0,1.06481328403095,0.890348739344615,0.0310968319783994,3.0259344715569,1.05752313825966,1
"P006","R04","R05",3,3,0,1.04328600872224,0.872845613899395,0.0386928634584144,2.99697508995962,1.05733602648869,1
"P007","R02","R09",3,3,0,1.06696581020052,0.883649662240441,0.0425416468986002,3.08409785727081,1.06428818462564,1
"P017","R02","R03",4,4,0,1.06874478764287,0.910278998220706,0.0473788980187133,2.9610236491478,1.05695587051284,1
"P021","R02","R07",3,3,0,1.06051782674382,0.899162961408341,0.0442041234982885,3.00669701340267,1.06588879974037,1
"P022","R06","R07",5,5,0,1.05465766991404,0.879864813224447,0.039828896003597,3.02359149435782,1.06337902626731,1
"P025","R05","R09",3,3,0,1.05947152385319,0.890487158112043,0.0400251992782721,2.98229996305488,1.0588860257409,1
"P038","R03","R04",4,4,0,1.06581989215979,0.897627802332956,0.0388903174148358,3.00670863262039,1.05899534544479,1
"P040","R01","R07",4,4,0,1.04281208343851,0.880642965780371,0.0398580812830837,3.01306338917733,1.0630085689927,1
"P042","R02","R09",3,3,0,1.07198867941108,0.894859608809375,0.0402553163754436,3.07715979033284,1.06428818462564,1
