"candidate_id","proposal_id","reviewer_id","A_mean","D_mean","E_mean","A_rank","D_rank","E_rank","A_plugin","D_plugin","E_plugin","A_plugin_rank","D_plugin_rank","E_plugin_rank"
176,"P026","R02",0.000305354423679503,0.0652031038503707,0.00019297853490485,1,1,18,0.000101840658779205,0.0489489121263375,2.80893034143095e-05,1,1,29
29,"P005","R02",0.000305339638140604,0.0651949002048494,0.000284528255183352,2,3,1,0.000101832268662382,0.0489476984262734,4.57527357350176e-05,2,2,1
99,"P015","R02",0.000305339638140604,0.0651949002048494,0.000284528255183351,3,2,2,0.000101832268662382,0.0489476984262734,4.57527357350176e-05,3,3,1
219,"P032","R02",0.000305192315040644,0.0651801264508983,0.000245394710034651,4,4,5,0.000101823335657051,0.0489464037450333,3.97678435732213e-05,4,4,7
198,"P029","R02",0.000305192315040644,0.0651801264508983,0.00024539471003465,4,5,6,0.000101823335657051,0.0489464037450333,3.97678435732282e-05,4,6,6
233,"P034","R02",0.000305192315040644,0.0651801264508983,0.000245394710034649,4,5,7,0.000101823335657051,0.0489464037450333,3.97678435732421e-05,4,5,5
120,"P018","R02",0.000304432006732603,0.0651372301703202,7.63966017580099e-05,7,7,95,0.000101811513599357,0.0489436903562338,1.2006410050773e-05,8,7,114
30,"P005","R03",0.000304420101241495,0.0650066576101124,0.000257964991910068,8,41,3,0.000101557997671227,0.0488150517823234,4.28784686882164e-05,61,61,4
100,"P015","R03",0.000304420101241495,0.0650066576101123,0.000257964991910067,9,42,4,0.000101557997671227,0.0488150517823234,4.28784686882303e-05,62,61,3
31,"P005","R04",0.000304385675579457,0.0650051235844631,0.000218309084520531,10,43,11,0.000101556762970588,0.0488149640456348,3.49750397421536e-05,63,63,12
101,"P015","R04",0.000304385675579457,0.0650051235844631,0.00021830908452053,10,44,12,0.000101556762970588,0.0488149640456348,3.49750397421814e-05,64,63,11
35,"P005","R09",0.000304256096651905,0.0649975860899083,0.000201804754842538,12,45,16,0.000101556512393099,0.0488148206205767,3.42111025824973e-05,65,65,14
105,"P015","R09",0.000304256096651905,0.0649975860899083,0.000201804754842538,13,46,16,0.000101556512393099,0.0488148206205767,3.4211102582539e-05,65,65,13
181,"P026","R07",0.000304211434776705,0.0651219945468604,8.614330481546e-05,14,9,91,0.000101816060932204,0.0489432874772234,1.71006429474999e-05,7,9,80
230,"P033","R07",0.000304162975271043,0.065122411806341,1.44680482140931e-06,15,8,275,0.000101801678212154,0.0489432986159672,4.54829660608003e-07,9,8,251
223,"P032","R07",0.000304161761241545,0.065108260561916,0.000120915303272559,16,10,59,0.000101799734283817,0.0489410232136787,2.61666485547735e-05,10,10,36
202,"P029","R07",0.000304161761241545,0.065108260561916,0.000120915303272558,16,11,60,0.000101799734283817,0.0489410232136787,2.61666485547735e-05,10,11,36
237,"P034","R07",0.000304161761241545,0.065108260561916,0.000120915303272558,16,12,61,0.000101799734283817,0.0489410232136787,2.61666485547665e-05,10,11,38
177,"P026","R03",0.000304002258669986,0.064980043282871,0.00017785929188956,19,49,26,0.000101555100728496,0.0488135252284867,2.64167408403557e-05,67,68,35
178,"P026","R04",0.000303953498032197,0.0649778872199372,0.000156910351248106,20,51,31,0.000101553831401069,0.0488134318530964,2.30627341095205e-05,68,69,56
86,"P013","R02",0.000303946806461323,0.0650993124352134,0.00011496244874666,21,13,62,0.00010179229968245,0.0489408857618531,2.06021848909096e-05,13,13,62
121,"P018","R03",0.000303906536595239,0.0649786609400931,6.47448579816626e-05,22,50,115,0.000101547684244732,0.0488135693563623,1.0706064327369e-05,70,67,125
182,"P026","R09",0.000303859984638071,0.0649719054290215,0.000137822803370771,23,54,51,0.000101553656875394,0.0488133005075099,2.12697902927036e-05,69,70,59
199,"P029","R03",0.000303809114765163,0.0649560787232708,0.000231665800364423,24,58,8,0.000101537391181251,0.0488110120876761,3.82628771780358e-05,71,73,9
220,"P032","R03",0.000303809114765163,0.0649560787232708,0.000231665800364421,25,59,9,0.000101537391181251,0.0488110120876761,3.82628771780497e-05,72,71,8
234,"P034","R03",0.000303809114765163,0.0649560787232708,0.000231665800364421,25,59,10,0.000101537391181251,0.0488110120876761,3.8262877178015e-05,72,72,10
200,"P029","R04",0.000303758592210086,0.0649538770856102,0.00020745864093586,27,61,13,0.000101536118706517,0.0488109185887481,3.40816837500826e-05,74,76,16
221,"P032","R04",0.000303758592210086,0.0649538770856102,0.000207458640935859,27,61,14,0.000101536118706517,0.0488109185887481,3.40816837500549e-05,76,74,17
235,"P034","R04",0.000303758592210086,0.0649538770856101,0.000207458640935857,27,63,15,0.000101536118706517,0.0488109185887481,3.40816837500965e-05,74,75,15
203,"P029","R09",0.000303670233302688,0.0649481040418699,0.000183903839991936,30,64,24,0.000101535947929523,0.0488107876712724,3.17702444713602e-05,77,79,19
238,"P034","R09",0.000303670233302688,0.0649481040418699,0.000183903839991936,30,64,25,0.000101535947929523,0.0488107876712724,3.17702444713949e-05,77,78,18
224,"P032","R09",0.000303670233302688,0.0649481040418699,0.000183903839991937,32,64,23,0.000101535947929523,0.0488107876712724,3.17702444713325e-05,79,77,20
